"cohort_month","month_diff","customers"
"2016-10-01","0","4"
"2017-01-01","0","8"
"2017-02-01","0","20"
"2017-03-01","0","33"
"2017-04-01","0","29"
"2017-05-01","0","44"
"2017-05-01","4","1"
"2017-05-01","9","1"
"2017-06-01","0","29"
"2017-07-01","0","26"
"2017-07-01","3","1"
"2017-08-01","0","60"
"2017-09-01","0","56"
"2017-09-01","6","1"
"2017-10-01","0","46"
"2017-10-01","6","1"
"2017-10-01","7","1"
"2017-11-01","0","77"
"2017-12-01","0","50"
"2018-01-01","0","85"
"2018-01-01","5","1"
"2018-02-01","0","75"
"2018-02-01","3","1"
"2018-03-01","0","75"
"2018-03-01","1","1"
"2018-04-01","0","66"
"2018-05-01","0","65"
"2018-06-01","0","62"
"2018-07-01","0","59"
"2018-08-01","0","64"
